月,電,年份
1,380130,--2012
2,370215,--2012
3,401433,--2012
4,391495,--2012
5,422108,--2012
6,389429,--2012
7,428157,--2012
8,425742,--2012
9,394342,--2012
10,402691,--2012
11,387885,--2012
12,398648,--2012
1,406344,--2013
2,370978,--2013
3,422741,--2013
4,410218,--2013
5,445731,--2013
6,449157,--2013
7,459865,--2013
8,469538,--2013
9,448742,--2013
10,463537,--2013
11,436197,--2013
12,436937,--2013
1,421607,--2014
2,376437,--2014
3,438154,--2014
4,437669,--2014
5,467748,--2014
6,456005,--2014
7,463867,--2014
8,445289,--2014
9,434697,--2014
10,442578,--2014
11,411488,--2014
12,421648,--2014
1,410199,--2015
2,330487,--2015
3,374869,--2015
4,364945,--2015
5,387255,--2015
6,385503,--2015
7,371820,--2015
8,357709,--2015
9,337554,--2015
10,338518,--2015
11,328859,--2015
12,328090,--2015
1,316842,--2016
2,302713,--2016
3,329480,--2016
4,326878,--2016
5,355203,--2016
6,355519,--2016
7,360476,--2016
8,355400,--2016
9,344181,--2016
10,350132,--2016
11,321692,--2016
12,324513,--2016
1,316924,--2017
2,281803,--2017
3,320851,--2017
4,322177,--2017
5,353757,--2017
6,356374,--2017
7,371584,--2017
8,369165,--2017
9,359155,--2017
10,336122,--2017
11,306895,--2017
12,306467,--2017
1,303320,--2018
2,260473,--2018
3,306081,--2018
4,300134,--2018
5,331223,--2018
6,0,--2018
7,0,--2018
8,0,--2018
9,0,--2018
10,0,--2018
11,0,--2018
12,0,--2018
